bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2018-09,Miss_K,15593,142,472,88,166,369,359,817,203,202,549,9.106650420060284,30.26999294555249,5.643558006797923,10.645802603732443,23.66446482395947,23.02315141409607,52.39530558583979,13.018662220227025,12.954530879240684,35.20810620150068
2018-09,Subj_533,11376,68,479,39,93,417,198,757,124,222,466,5.977496483825598,42.10618846694796,3.428270042194093,8.175105485232068,36.65611814345992,17.40506329113924,66.5436005625879,10.900140646976089,19.514767932489452,40.963431786216596
2018-10,Miss_K,38411,319,1067,235,384,800,801,1997,470,410,1358,8.304912655228971,27.778500950248628,6.118039103381843,9.99713623701544,20.82736716044883,20.85340136939939,51.990315274270394,12.236078206763686,10.674025669730025,35.35445575486189
2018-10,Subj_533,22280,172,772,109,212,654,512,1216,293,300,765,7.719928186714542,34.64991023339318,4.8922800718132855,9.515260323159785,29.353680430879713,22.980251346499102,54.57809694793537,13.1508078994614,13.464991023339318,34.33572710951526
2018-11,Miss_K,23494,195,732,137,241,522,471,1222,290,297,807,8.299991487188219,31.15689112113731,5.831276070486081,10.257938196986466,22.21843875031923,20.047671745977695,52.0132799863795,12.343577083510684,12.641525495871285,34.349195539286626
2018-11,Subj_533,14762,86,592,70,114,434,271,887,204,244,535,5.825768866007317,40.10296707763176,4.741904890936188,7.722530822381791,29.399810323804363,18.35794607776724,60.08670911800569,13.819265682156889,16.528925619834713,36.24170166644086
2018-12,Miss_K,17644,214,524,150,223,413,420,960,268,228,605,12.128768986624348,29.698481070052143,8.501473588755383,12.638857401949672,23.407390614373156,23.804126048515077,54.40943096803446,15.189299478576286,12.922239854908184,34.28927680798005
2018-12,Subj_533,10100,97,406,60,90,349,226,671,174,166,379,9.603960396039604,40.1980198019802,5.9405940594059405,8.91089108910891,34.554455445544555,22.376237623762375,66.43564356435644,17.22772277227723,16.435643564356436,37.524752475247524
2019-01,Miss_K,12655,105,436,83,119,318,244,693,145,171,433,8.297115764519953,34.452785460292375,6.558672461477677,9.403397866455945,25.128407743974712,19.280916633741604,54.760964045831685,11.457921770051362,13.51244567364678,34.21572500987752
2019-01,Subj_533,7800,51,289,27,53,229,145,467,96,115,246,6.538461538461538,37.05128205128205,3.4615384615384617,6.794871794871796,29.35897435897436,18.58974358974359,59.87179487179487,12.307692307692308,14.743589743589743,31.538461538461537
2019-02,Miss_K,11536,77,471,69,119,407,218,712,147,204,430,6.674757281553398,40.828710124826635,5.98127600554785,10.315533980582526,35.28085991678225,18.897364771151178,61.71983356449376,12.742718446601941,17.68377253814147,37.27461858529819
