bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2022-09,Miss_S,41,0,4,0,1,3,0,3,0,2,1,0.0,97.5609756097561,0.0,24.390243902439025,73.17073170731707,0.0,73.17073170731707,0.0,48.78048780487805,24.390243902439025
2022-10,Miss_S,17592,112,536,65,172,471,288,978,164,243,594,6.366530241018645,30.468394724874944,3.6948613005911777,9.777171441564347,26.773533424283766,16.37107776261937,55.593451568894956,9.322419281491587,13.813096862210095,33.765347885402456
2022-10,Subj_533,8172,42,321,44,70,319,155,572,98,135,330,5.139500734214391,39.28046989720998,5.384238864415075,8.565834557023983,39.0357317670093,18.967205090553108,69.99510523739598,11.99216837983358,16.519823788546255,40.38179148311307
2022-11,Miss_S,16962,116,527,63,139,497,266,997,169,280,590,6.838816177337578,31.0694493573871,3.714184648036788,8.194788350430374,29.300790001179106,15.68211295837755,58.778445937979015,9.963447706638368,16.507487324607947,34.78363400542389
2022-11,Subj_533,7980,48,298,26,58,327,138,541,83,139,305,6.015037593984963,37.34335839598997,3.2581453634085213,7.268170426065163,40.97744360902256,17.293233082706767,67.79448621553885,10.401002506265664,17.41854636591479,38.22055137844611
2022-12,Miss_S,15368,97,528,62,152,470,261,910,146,263,536,6.311816762103072,34.35710567412806,4.034357105674128,9.890681936491411,30.58302967204581,16.983342009370123,59.21395106715253,9.500260281103591,17.113482561166062,34.877667881311815
2022-12,Subj_533,6238,42,233,26,59,220,105,402,76,100,227,6.732927220262905,37.351715293363256,4.168002564924655,9.458159666559794,35.26771401090093,16.83231805065726,64.44373196537352,12.183392112856685,16.03077909586406,36.389868547611414
2023-01,Miss_S,11372,66,413,30,97,326,197,645,121,211,386,5.80372845585649,36.31727048892015,2.638058389025677,8.529722124516356,28.66690116074569,17.32325008793528,56.718255364052055,10.640168835736898,18.55434400281393,33.94301793879705
2023-01,Subj_533,4379,21,146,11,30,164,66,295,56,87,146,4.7956154373144555,33.340945421329074,2.511989038593286,6.850879196163508,37.45147293902718,15.071934231559716,67.36697876227448,12.788307832838546,19.867549668874172,33.340945421329074
2023-02,Miss_S,8126,66,273,39,83,204,147,443,79,114,279,8.122077282795964,33.595865124292395,4.799409303470342,10.214127492000985,25.10460251046025,18.090081220772827,54.51636721634261,9.721880383952746,14.029042579374847,34.33423578636476
2023-02,Subj_533,2353,10,78,4,22,76,54,134,23,35,82,4.249893752656183,33.14917127071823,1.6999575010624735,9.349766255843605,32.29919252018699,22.949426264343394,56.948576285592864,9.774755631109223,14.874628134296643,34.849128771780705
2023-03,Miss_S,18745,121,528,70,143,410,293,1050,147,217,618,6.455054681248333,28.167511336356363,3.7343291544411845,7.628700986929848,21.872499333155506,15.630834889303815,56.01493731661777,7.842091224326487,11.576420378767672,32.968791677780736
2023-03,Subj_533,3672,15,115,14,27,86,66,201,30,48,117,4.0849673202614385,31.31808278867102,3.812636165577342,7.352941176470588,23.42047930283224,17.973856209150327,54.73856209150327,8.169934640522877,13.071895424836601,31.862745098039213
2023-04,Miss_S,10483,61,320,52,100,219,163,549,96,128,323,5.818944958504245,30.52561289707145,4.960412095774111,9.539254030334828,20.890966326433272,15.548984069445769,52.3705046265382,9.157683869121435,12.210245158828581,30.811790517981493
2023-04,Subj_533,2443,19,63,19,35,61,55,126,26,35,76,7.777322963569382,25.787965616045845,7.777322963569382,14.326647564469916,24.969300040933277,22.51330331559558,51.57593123209169,10.642652476463365,14.326647564469916,31.10929185427753
2023-05,Miss_S,8333,68,287,30,72,202,155,453,80,133,250,8.160326413056522,34.44137765510621,3.6001440057602303,8.640345613824552,24.24096963878555,18.600744029761188,54.36217448697948,9.600384015360614,15.960638425537022,30.00120004800192
2023-05,Subj_533,2644,15,85,20,26,77,54,147,30,44,80,5.673222390317701,32.148260211800306,7.564296520423601,9.833585476550681,29.12254160363086,20.42360060514372,55.597579425113466,11.346444780635402,16.64145234493192,30.257186081694403
2023-06,Miss_S,8585,57,298,30,56,215,139,422,88,133,284,6.639487478159581,34.71170646476413,3.4944670937682005,6.52300524170064,25.043680838672103,16.191030867792662,49.155503785672686,10.25043680838672,15.49213744903902,33.08095515433896
