bin,speaker,tokens,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,anger_per1k,anticipation_per1k,disgust_per1k,fear_per1k,joy_per1k,negative_per1k,positive_per1k,sadness_per1k,surprise_per1k,trust_per1k
2019-10,Miss_T,1364,5,27,4,11,32,17,81,8,13,43,3.6656891495601176,19.794721407624632,2.932551319648094,8.064516129032258,23.46041055718475,12.463343108504398,59.384164222873906,5.865102639296188,9.530791788856305,31.524926686217007
2019-10,Subj_533,924,1,44,2,3,42,10,78,7,21,47,1.0822510822510822,47.61904761904761,2.1645021645021645,3.246753246753247,45.45454545454545,10.822510822510822,84.41558441558442,7.575757575757576,22.727272727272727,50.865800865800864
2019-11,Miss_T,8379,76,266,48,98,188,179,450,118,142,251,9.070294784580499,31.746031746031743,5.728607232366631,11.695906432748536,22.437044993435972,21.362931137367227,53.70569280343717,14.082826112901301,16.94712972908462,29.955841985917175
2019-11,Subj_533,5070,34,210,20,48,158,97,287,60,113,194,6.70611439842209,41.42011834319527,3.9447731755424065,9.467455621301776,31.16370808678501,19.132149901380668,56.60749506903353,11.834319526627219,22.2879684418146,38.264299802761336
2019-12,Miss_T,8663,94,320,43,112,234,211,535,129,139,331,10.850744545769365,36.938704836661664,4.9636384624264105,12.928546692831583,27.01142791180884,24.356458501673785,61.75689714879372,14.890915387279234,16.04524991342491,38.20847281542191
2019-12,Subj_533,5258,30,208,24,53,168,91,329,53,104,234,5.705591479650057,39.5587675922404,4.564473183720046,10.079878280715102,31.95131228604032,17.306960821605173,62.57131989349563,10.079878280715102,19.7793837961202,44.50361354127044
2020-01,Miss_T,27853,280,940,173,312,747,603,1521,290,537,905,10.052777079668259,33.748608767457725,6.211180124223602,11.201665888773203,26.819373137543533,21.649373496571283,54.60812120776936,10.411804832513553,19.27979032779234,32.49201163249919
2020-01,Subj_533,27407,199,1103,160,254,931,596,1688,260,567,972,7.260918743386727,40.245192833947534,5.837924617798373,9.267705330754916,33.96942386981428,21.746269201298936,61.59010471777283,9.486627503922357,20.688145364322985,35.465392053125115
2020-02,Miss_T,15193,171,588,142,230,424,397,921,205,278,601,11.255183308102415,38.70203383136971,9.34640953070493,15.138550648324886,27.90758902125979,26.130454814717304,60.62002237872704,13.4930560126374,18.297900348844863,39.55769104192721
2020-02,Subj_533,11843,118,446,89,146,364,292,743,150,231,444,9.96369163218779,37.65937684708266,7.514987756480621,12.3279574432154,30.735455543358945,24.6559148864308,62.73748205691125,12.66570970193363,19.505192940977793,37.49050071772355
