segment_id,environment,speaker_id,word_count,sentence_count,emotion_word_count,vulnerability_count,repair_count,second_person_count,directive_count,commitment_count,segment_start_iso,emotional_cost,role_constraint
baseline_00001,baseline,[user],1966,99,1,0,0,13,93,2,2000-01-01T00:00:00,0.7629704984740588,86.36826042726348
baseline_00002,baseline,[user],1882,91,1,3,0,15,86,0,2000-01-01T00:48:00,3.9851222104144526,82.25292242295431
baseline_00003,baseline,[user],1850,86,1,2,0,14,99,2,2000-01-01T01:24:00,2.9729729729729732,97.94594594594595
baseline_00004,baseline,[user],1963,127,0,2,0,18,89,3,2000-01-01T01:52:00,2.0376974019358127,80.38716250636782
baseline_00005,baseline,[user],1963,101,3,3,0,30,91,1,2000-01-01T02:22:00,5.348955680081508,86.50025471217526
baseline_00006,baseline,[user],1995,98,2,0,0,28,85,5,2000-01-01T03:08:00,1.5037593984962405,79.3984962406015
baseline_00007,baseline,[user],1975,89,3,1,0,11,89,1,2000-01-01T03:44:00,3.291139240506329,81.72151898734177
baseline_00008,baseline,[user],1974,98,1,0,0,17,82,0,2000-01-01T04:14:00,0.7598784194528876,79.0273556231003
baseline_00009,baseline,[user],1926,84,4,2,1,16,89,1,2000-01-01T04:54:00,5.7113187954309454,84.42367601246106
baseline_00010,baseline,[user],1979,70,0,2,0,12,68,0,2000-01-01T05:20:00,2.02122283981809,61.546235472460836
baseline_00011,baseline,[user],1903,104,0,2,0,10,88,0,2000-01-01T05:42:00,2.10194429847609,81.6605359957961
baseline_00012,baseline,[user],1972,75,0,0,0,13,76,1,2000-01-01T06:06:00,0.0,69.3711967545639
baseline_00013,baseline,[user],1965,88,2,4,0,12,67,1,2000-01-01T06:38:00,5.597964376590331,61.984732824427475
baseline_00014,baseline,[user],1803,91,2,2,0,12,84,5,2000-01-01T07:00:00,3.8824181919023855,85.19134775374377
baseline_00015,baseline,[user],1878,89,1,3,0,13,85,4,2000-01-01T07:18:00,3.993610223642172,82.42811501597444
baseline_00016,baseline,[user],1948,96,0,0,0,13,109,2,2000-01-01T07:46:00,0.0,101.64271047227925
baseline_00017,baseline,[user],1781,89,0,0,0,20,70,1,2000-01-01T08:14:00,0.0,77.48455923638406
baseline_00018,baseline,[user],1760,99,0,1,0,25,69,7,2000-01-01T08:32:00,1.1363636363636362,73.29545454545456
baseline_00019,baseline,[user],1959,71,0,3,0,21,83,5,2000-01-01T08:56:00,3.0627871362940278,78.4073506891271
baseline_00020,baseline,[user],1648,78,2,1,0,29,87,0,2000-01-01T09:12:00,3.0339805825242716,93.56796116504854
baseline_00021,baseline,[user],1749,87,0,1,0,7,85,1,2000-01-01T09:24:00,1.1435105774728416,85.42024013722128
baseline_00022,baseline,[user],1775,99,1,0,0,16,90,4,2000-01-01T09:34:00,0.8450704225352113,91.94366197183099
baseline_00023,baseline,[user],1570,69,0,1,0,5,86,0,2000-01-01T09:46:00,1.2738853503184713,100.12738853503186
baseline_00024,baseline,[user],1711,76,3,3,0,8,80,1,2000-01-01T09:54:00,6.136762127410871,85.21332554061951
baseline_00025,baseline,[user],1549,55,1,1,0,18,75,2,2000-01-01T10:02:00,2.2595222724338284,84.44157520981277
baseline_00026,baseline,[user],1776,73,4,2,0,17,93,0,2000-01-01T10:14:00,5.63063063063063,94.5945945945946
baseline_00027,baseline,[user],1594,82,4,4,0,13,63,2,2000-01-01T10:30:00,8.782936010037641,73.77666248431619
baseline_00028,baseline,[user],1907,102,3,2,0,5,72,0,2000-01-01T10:38:00,4.457262716308337,72.36497115888831
baseline_00029,baseline,[user],1726,90,0,0,0,26,73,2,2000-01-01T10:58:00,0.0,74.39165701042874
baseline_00030,baseline,[user],1510,53,2,1,0,7,73,1,2000-01-01T11:18:00,3.3112582781456954,89.40397350993378
